temperature,city,pression,date
280.41,Paris,1004,2026-02-16 17:58
279.67,London,999,2026-02-16 17:58
274.01,Washington,998,2026-02-16 17:58
281.52,Paris,1003,2026-02-16 17:12
279.84,London,998,2026-02-16 17:12
273.63,Washington,998,2026-02-16 17:12
281.93,Paris,1003,2026-02-16 17:00
280.21,London,998,2026-02-16 17:00
272.92,Washington,999,2026-02-16 17:00
281.44,Paris,1002,2026-02-16 16:17
281.83,London,996,2026-02-16 16:17
273.2,Washington,999,2026-02-16 16:17
283.36,Paris,1002,2026-02-16 16:00
281.77,London,997,2026-02-16 16:00
272.82,Washington,1000,2026-02-16 16:00
283.4,Paris,1002,2026-02-16 15:51
281.95,London,997,2026-02-16 15:51
273.47,Washington,1000,2026-02-16 15:51
283.52,Paris,1002,2026-02-16 15:47
281.85,London,997,2026-02-16 15:47
273.78,Washington,1000,2026-02-16 15:47
283.73,Paris,1002,2026-02-16 15:37
281.88,London,997,2026-02-16 15:37
273.78,Washington,1000,2026-02-16 15:37
283.73,Paris,1002,2026-02-16 15:36
281.88,London,997,2026-02-16 15:36
273.78,Washington,1000,2026-02-16 15:36
283.73,Paris,1002,2026-02-16 15:35
281.88,London,997,2026-02-16 15:35
273.78,Washington,1000,2026-02-16 15:35
283.75,Paris,1002,2026-02-16 15:26
281.87,London,996,2026-02-16 15:26
273.78,Washington,999,2026-02-16 15:26
283.75,Paris,1002,2026-02-16 15:17
281.87,London,996,2026-02-16 15:17
273.78,Washington,999,2026-02-16 15:17
284.01,Paris,1002,2026-02-16 15:00
281.17,London,996,2026-02-16 15:00
273.47,Washington,1001,2026-02-16 15:00
283.95,Paris,1002,2026-02-16 14:25
281.46,London,995,2026-02-16 14:25
272.83,Washington,1000,2026-02-16 14:25
283.78,Paris,1002,2026-02-16 14:00
282.59,London,996,2026-02-16 14:00
273.46,Washington,1002,2026-02-16 14:00
283.88,Paris,1002,2026-02-16 13:52
282.61,London,996,2026-02-16 13:52
273.77,Washington,1002,2026-02-16 13:52
284.26,Paris,1003,2026-02-16 13:00
281.89,London,997,2026-02-16 13:00
272.69,Washington,1003,2026-02-16 13:00
283.42,Paris,1002,2026-02-16 12:00
281.6,London,997,2026-02-16 12:00
274.07,Washington,1004,2026-02-16 12:00
282.57,Paris,1003,2026-02-16 11:00
281.38,London,997,2026-02-16 11:00
274.51,Washington,1005,2026-02-16 11:00
282.57,Paris,1003,2026-02-16 10:55
281.3,London,997,2026-02-16 10:55
274.51,Washington,1005,2026-02-16 10:55
282.55,Paris,1003,2026-02-16 10:41
281.19,London,997,2026-02-16 10:41
274.72,Washington,1005,2026-02-16 10:41
281.82,Paris,1002,2026-02-15 23:09
279.56,London,996,2026-02-15 23:09
278.18,Washington,1010,2026-02-15 23:09
282.21,Paris,1002,2026-02-15 23:00
279.59,London,996,2026-02-15 23:00
277.82,Washington,1010,2026-02-15 23:00
282.21,Paris,1002,2026-02-15 22:53
279.59,London,996,2026-02-15 22:53
277.82,Washington,1010,2026-02-15 22:53
282.55,Paris,1002,2026-02-15 22:06
279.87,London,996,2026-02-15 22:06
278.37,Washington,1011,2026-02-15 22:06
